state,state_fips,state_id,year,first_treat_year,gname,treated_post,event_time,population,deaths_allcause,deaths_amenable,deaths_nonamenable,deaths_external,crude_allcause,crude_amenable,crude_nonamenable,crude_external,aa_allcause,aa_amenable,aa_nonamenable,aa_external
Iowa,19,16,2011,2014,2014,0,-3,1569551,5440,3640,1800,889,346.5959373094598,231.91345805265328,114.68247925680657,56.64040225516724,293.86,186.58,107.28,57.44
Iowa,19,16,2012,2014,2014,0,-2,1566638,5550,3704,1846,920,354.261801386153,236.42985807825417,117.83194330789883,58.724478788335276,298.49,188.29,110.20000000000002,59.43
Iowa,19,16,2013,2014,2014,0,-1,1568189,5643,3720,1923,933,359.8418302895888,237.2163049224296,122.62552536715918,59.49537970231905,302.46,189.36,113.09999999999997,59.51
Iowa,19,16,2014,2014,2014,1,0,1569386,5636,3685,1951,938,359.1213378990255,234.80520407344017,124.3161338255853,59.76859740051205,298.97,186.04,112.93000000000004,58.76
Iowa,19,16,2015,2014,2014,1,1,1570047,5658,3705,1953,946,360.37137741736393,235.98019677117946,124.39118064618447,60.25297331863314,299.02,184.78,114.23999999999998,59.44
Iowa,19,16,2016,2014,2014,1,2,1567650,5901,3736,2165,1062,376.42330877428,238.3185022166938,138.1048065575862,67.74471342455267,314.75,186.12,128.63,68.74
Iowa,19,16,2017,2014,2014,1,3,1567169,5908,3763,2145,1059,376.9855069874404,240.1144994573017,136.87100753013874,67.57407784355101,314.33,188.47,125.85999999999999,66.88
Iowa,19,16,2018,2014,2014,1,4,1566518,5836,3709,2127,1032,372.5459905344209,236.76714854218082,135.7788419922401,65.8785918834,310.32,186.49,123.82999999999998,65.55
Iowa,19,16,2019,2014,2014,1,5,1561570,6124,3844,2280,1105,392.16941923833065,246.16251592948123,146.00690330884942,70.7621176124029,326.68,192.81,133.87,69.56
Kansas,20,17,2010,0,0,0,NA,1461904,5462,3420,2042,1029,373.62234455887665,233.94149000207946,139.68085455679716,70.38765883395901,328.35,197.26,131.09000000000003,69.48
Kansas,20,17,2011,0,0,0,NA,1471460,5615,3517,2098,979,381.59379120057633,239.01431231565928,142.57947888491702,66.53255949872916,333.07,199.08,133.98999999999998,66.48
Kansas,20,17,2012,0,0,0,NA,1470390,5618,3481,2137,1031,382.07550377790926,236.7399125402104,145.33559123769882,70.11745183250702,333.3,196.8,136.5,71.06
Kansas,20,17,2013,0,0,0,NA,1464527,5566,3453,2113,1014,380.05444761346155,235.77578289782295,144.27866471563857,69.2373715199515,329.73,194.72,135.01000000000002,69.36
Kansas,20,17,2014,0,0,0,NA,1463761,5724,3570,2154,1049,391.04744558708694,243.89227476343473,147.1551708236522,71.66470482544624,335.87,199,136.87,71.26
Kansas,20,17,2015,0,0,0,NA,1461437,5914,3623,2291,1076,404.6701978942644,247.90668362714234,156.76351426712202,73.62616383737377,347.95,201.93,146.01999999999998,73.58
Kansas,20,17,2016,0,0,0,NA,1458212,5863,3514,2349,1117,402.06773775006656,240.98004954012177,161.0876882099448,76.60065888910529,342.27,193.02,149.24999999999997,76.43
Kansas,20,17,2017,0,0,0,NA,1454753,6038,3625,2413,1187,415.05327708552585,249.18319467291013,165.87008241261574,81.5946074694467,353.57,199.18,154.39,81.65
Kansas,20,17,2018,0,0,0,NA,1448568,6004,3600,2404,1170,414.47829856796506,248.5212982752622,165.95700029270287,80.7694219394602,352.32,198.35,153.97,81.28
Kansas,20,17,2019,0,0,0,NA,1443417,6020,3646,2374,1170,417.06589294708317,252.59505742276835,164.47083552431485,81.05765693489823,354.7,201.53,153.17,80.79
Kentucky,21,18,2010,2014,2014,0,-4,2324968,11789,7670,4119,2265,507.0607423414,329.89701363631673,177.16372870508326,97.42069568269328,445.93,276.24,169.69,99.57
Kentucky,21,18,2011,2014,2014,0,-3,2337210,12020,7810,4210,2328,514.2884036950039,334.1591042311132,180.1292994638907,99.6059404161372,449.73,277.2,172.53000000000003,102.11
Kentucky,21,18,2012,2014,2014,0,-2,2323637,12383,7939,4444,2451,532.9145645382648,341.6626607340131,191.2519038042517,105.48119176962668,462.9,280.67,182.22999999999996,107.67
Kentucky,21,18,2013,2014,2014,0,-1,2320105,12111,7807,4304,2248,522.0022369677234,336.49339146288634,185.50884550483707,96.89216651832568,448.76,274.29,174.46999999999997,97.66
Kentucky,21,18,2014,2014,2014,1,0,2316114,12648,8078,4570,2346,546.087109701854,348.77385137346437,197.3132583283897,101.29035099308582,470.76,284.96,185.8,102.73
Kentucky,21,18,2015,2014,2014,1,1,2316881,13237,8342,4895,2645,571.3284368079327,360.0530195551692,211.2754172527635,114.1620998229948,490.41,290.06,200.35000000000002,116.67
Kentucky,21,18,2016,2014,2014,1,2,2315663,13673,8371,5302,2833,590.4572470173769,361.4947425424166,228.9625044749603,122.34077238354631,510.28,292.47,217.80999999999995,125.8
Kentucky,21,18,2017,2014,2014,1,3,2313885,13679,8354,5325,2947,591.1702612705471,361.0378216722093,230.13243959833784,127.36155859085477,511.68,290.97,220.70999999999998,131.71
Kentucky,21,18,2018,2014,2014,1,4,2311215,13378,8259,5119,2692,578.8297497203852,357.3445135999896,221.48523612039554,116.47553343155008,496.48,286.71,209.77000000000004,119.28
Kentucky,21,18,2019,2014,2014,1,5,2300284,13395,8159,5236,2678,582.3194005609743,354.6953332718916,227.62406728908257,116.4204072192825,498.53,283.79,214.73999999999995,119.44
Louisiana,22,19,2010,2016,2016,0,-6,2382969,12058,8081,3977,1978,506.0074218338552,339.11477656654364,166.8926452673115,83.00569583574105,453.83,293.46,160.37,84.55
Louisiana,22,19,2011,2016,2016,0,-5,2407356,11999,7989,4010,2054,498.4306434112778,331.8578556723642,166.57278773891355,85.32182194905947,442.44,283.5,158.94,86.48
