state,state_fips,state_id,year,first_treat_year,gname,treated_post,event_time,population,deaths_allcause,deaths_amenable,deaths_nonamenable,deaths_external,crude_allcause,crude_amenable,crude_nonamenable,crude_external,aa_allcause,aa_amenable,aa_nonamenable,aa_external,log_median_income,poverty_rate,unemployment_rate,pct_black,pct_hispanic
Rhode Island,44,40,2016,2014,2014,1,2,559705,2079,1222,857,494,371.44567227378707,218.3292984697296,153.1163738040575,88.26078023244388,313.06,170.55,142.51,88.54,11.011984163278214,0.12789942237954427,0.05949615511458966,0.05539715985786037,0.14894748898645055
Rhode Island,44,40,2017,2014,2014,1,3,560616,2049,1196,853,495,365.4908172438889,213.33675813747735,152.15405910641152,88.29573183783552,309.08,165.32,143.76,90.42,11.064605046555634,0.1162105961773334,0.05739093864176005,0.053976873255891865,0.15415249910582754
Rhode Island,44,40,2018,2014,2014,1,4,558945,1935,1102,833,462,346.1879075758796,197.1571442628523,149.03076331302722,82.65571746772937,289.89,148.93,140.95999999999998,84.28,11.071936800793017,0.12907919474179733,0.055272682987110446,0.058346850276407694,0.15921556016891844
Rhode Island,44,40,2019,2014,2014,1,5,558269,2013,1157,856,498,360.5788607284302,207.24776048822343,153.33110024020678,89.20430831731656,310.14,163.82,146.32,90.65,11.172812609330474,0.10823239274837863,0.04229758806389647,0.05777161892876932,0.16296899734840153
South Carolina,45,41,2010,0,0,0,NA,2436571,12027,7762,4265,2009,493.6035108355143,318.56243877153594,175.04107206397845,82.45193757949183,428.4,264.27,164.13,83.07,10.645853376883572,0.18152636983977044,0.1276402354570637,0.27924975713455,0.049824300003968675
South Carolina,45,41,2011,0,0,0,NA,2459362,11901,7726,4175,2005,483.9059886263185,314.1465144212198,169.7594742050987,81.5252085703528,417.88,259.41,158.46999999999997,82.07,10.654125036299098,0.18882365150988323,0.1191355298966231,0.27705177988686175,0.05150591016043238
South Carolina,45,41,2012,0,0,0,NA,2463763,11990,7710,4280,2072,486.65395169908794,312.93594391993065,173.71800777915735,84.09899815850794,417.19,255.96,161.23,83.84,10.671440675897315,0.18270164742684147,0.11219481778397292,0.27419156457734717,0.052873972500080975
South Carolina,45,41,2013,0,0,0,NA,2479217,12189,7843,4346,1991,491.6471611803243,316.3498798209273,175.29728135939692,80.30761325047384,420.86,258.47,162.39,80.18,10.695642613426124,0.18575495795264088,0.09450182364458232,0.2746507264433419,0.053061474952349176
South Carolina,45,41,2014,0,0,0,NA,2503893,12544,7995,4549,2115,500.9798741399892,319.30278170832383,181.6770924316654,84.46846570520385,427.52,261.18,166.33999999999995,83.5,10.719692720587927,0.17986656546428087,0.08115810550735156,0.2713655218995125,0.053265382054190784
South Carolina,45,41,2015,0,0,0,NA,2532639,12922,7975,4947,2410,510.2187875966531,314.88893600706615,195.32985158958695,95.15765965856168,437.72,255.66,182.06000000000003,95.45,10.762953932412522,0.1664612693846755,0.07301701714384039,0.27204805575650726,0.05362483063209308
South Carolina,45,41,2016,0,0,0,NA,2564730,13221,8049,5172,2572,515.4928588974278,313.83420477009275,201.658654127335,100.28346063718207,441.9,254.24,187.65999999999997,100.95,10.809748150372926,0.15267552467949363,0.06273441898147857,0.26770109727261127,0.05498578042574669
South Carolina,45,41,2017,0,0,0,NA,2587330,13514,8116,5398,2730,522.3145095523184,313.6824448369555,208.63206471536293,105.51417870932583,445.97,251.37,194.6,106.47,10.831113794074028,0.15399347085231183,0.057932893406991565,0.26764375785297617,0.05692058047488152
South Carolina,45,41,2018,0,0,0,NA,2610044,13469,7986,5483,2754,516.0449402385553,305.97185334806613,210.0730868904892,105.51546257457728,441.33,245.91,195.42,106.46,10.864866366226208,0.1527305503974515,0.052706890098359854,0.26456400479374337,0.05792577565430604
South Carolina,45,41,2019,0,0,0,NA,2633109,13433,7800,5633,2864,510.157384293624,296.22776725156456,213.9296170420594,108.76875966775398,438.12,237.53,200.59,110.71,10.937152347559921,0.1384592168866743,0.04686941457359807,0.26308452945725863,0.057971369161309017
South Dakota,46,42,2010,0,0,0,NA,413263,1433,891,542,287,346.7525522488101,215.6012031079482,131.15134914086187,69.44730111333462,301.1,175.54,125.56000000000004,69.83,10.734307538221145,0.1443240897915065,0.06030056125589043,0.012681529965228063,0.025067884276446087
South Dakota,46,42,2011,0,0,0,NA,419259,1465,917,548,285,349.42601112915884,218.7192165224837,130.70679460667512,67.97707383741314,302.4,179.39,123.01,66.8,10.785621527758789,0.13924380277579282,0.054822277306529006,0.011548608026871113,0.027787283304331365
South Dakota,46,42,2012,0,0,0,NA,423390,1520,931,589,296,359.0070620468126,219.89182550367272,139.1152365431399,69.91190155648457,310.87,178.33,132.54,70.24,10.786469660366542,0.13408511643520532,0.04675853681438325,0.015154424170280578,0.029722062892840257
South Dakota,46,42,2013,0,0,0,NA,425758,1503,916,587,289,353.01744183315407,215.1456930932596,137.87174873989449,67.87893592134499,305.98,174.97,131.01000000000002,70.18,10.798493359052951,0.14165283314254726,0.040303360059817474,0.0150270394388769,0.03217746488542119
South Dakota,46,42,2014,0,0,0,NA,426867,1652,1002,650,320,387.0057886882799,234.73353526976783,152.2722534185121,74.96480168295979,337.54,189.72,147.82000000000002,75.4,10.839169062202215,0.14173559784223888,0.03900540559323617,0.016714038737656402,0.03366132387845401
South Dakota,46,42,2015,0,0,0,NA,428051,1638,1005,633,334,382.6646824794242,234.7851073820643,147.8795750973599,78.02808543841738,330.83,187.91,142.92,78.46,10.878367895820443,0.1374939130518632,0.039877273646361726,0.014918418719837291,0.03503795710736206
South Dakota,46,42,2016,0,0,0,NA,428757,1665,964,701,331,388.3318523079506,224.83597935427295,163.49587295367772,77.19990577413313,333.46,178.43,155.02999999999997,79.58,10.905350292672244,0.13252485393387253,0.03916437047852195,0.016560094470647775,0.03723710330069536
South Dakota,46,42,2017,0,0,0,NA,430383,1728,1025,703,377,401.50284746377065,238.15996449673895,163.3428829670317,87.59639669782497,347.87,189.96,157.91,87.86,10.942367529494035,0.13003595986130959,0.035336336166112176,0.01879457170913891,0.035965531594888155
South Dakota,46,42,2018,0,0,0,NA,434346,1692,994,698,310,389.55118730228895,228.84981098018628,160.70137632210265,71.37167143245246,333.66,184.12,149.54000000000002,70.56,10.937987895736994,0.13095203180595458,0.029610666256031207,0.02141719609854517,0.03851921540179204
South Dakota,46,42,2019,0,0,0,NA,433291,1774,1048,726,371,409.4246130198874,241.8697826633833,167.55483035650406,85.62374939705649,354.28,194.99,159.28999999999996,85.15,10.994286059636607,0.11928419653471371,0.030048735781828147,0.022961389642788918,0.037322855473125804
